㞎㞎	ba3 ba5
今儿	jin1 r5
今儿个	jin1 r5 ge5
今朝	jin1 zhao1
介壳	jie4 qiao4
介子	jie4 zi3
从子	cong2 zi3
仔姜	zi3 jiang1
仔密	zi3 mi4
仔猪	zi3 zhu1
仔畜	zi3 chu4
仔细	zi3 xi4
仔肩	zi1 jian1
仔鸡	zi3 ji1
仙乐	xian1 yue4
仙子	xian1 zi3
仙方儿	xian1 fang1 r5
代为	dai4 wei2
令人发指	ling4 ren2 fa4 zhi3
以为	yi3 wei2
以人为本	yi3 ren2 wei2 ben3
以史为鉴	yi3 shi3 wei2 jian4
以和为贵	yi3 he2 wei2 gui4
以慎为键	yi3 shen4 wei2 jian4
以此为	yi3 ci3 wei2
以牙还牙	yi3 ya2 huan2 ya2
以眼还眼	yi3 yan3 huan2 yan3
以邻为壑	yi3 lin2 wei2 he4
价电子	jia4 dian4 zi3
价钱	jia4 qian5
任一个	ren4 yi1 ge5
任务	ren4 wu5
任务栏	ren4 wu5 lan2
份儿	fen4 r5
份儿饭	fen4 r5 fan4
仿佛	fang3 fu2
企投	qi4 tou2
伊妹儿	yi1 mei4 r5
伎俩	ji4 liang3
伏地	fu2 di4
伏地挺身	fu2 di4 ting3 shen1
休假	xiu1 jia4
休息	xiu1 xi5
众口难调	zhong4 kou3 nan2 tiao2
众矢之的	zhong4 shi3 zhi1 di4
优游自得	you1 you2 zi4 de2
优酪乳	you1 luo4 ru3
伙计	huo3 ji5
会儿	hui4 r5
会计	kuai4 ji4
会计制度	kuai4 ji4 zhi4 du4
会计学	kuai4 ji4 xue2
会计师	kuai4 ji4 shi1
会计科目	kuai4 ji4 ke1 mu4
会长	hui4 zhang3
会长团	hui4 zhang3 tuan2
伞菌	san3 jun4
传热学	zhuan4 re4 xue2
传略	zhuan4 lve4
传记	zhuan4 ji4
传赞	zhuan4 zan4
传载	chuan2 zai3
伤和气	shang1 he2 qi5
伪君子	wei3 jun1 zi3
伯伯	bo2 bo5
估堆儿	gu1 dui1 r5
估摸	gu1 mo5
估衣	gu4 yi5
估量	gu1 liang5
伺候	ci4 hou5
似地	shi4 de5
似曾相识	si4 ceng2 xiang1 shi2
似的	shi4 de5
伽倻琴	jia1 ye1 qin2
伽蓝	qie2 lan2
