㞎㞎	ba3 ba5
绕弯子儿	rao4 wan1 zi3 r5
绕腾	rao4 teng5
绕远儿	rao4 yuan3 r5
绗缝	hang2 feng2
给予	ji3 yu3
给事	ji3 shi4
给付	ji3 fu4
给养	ji3 yang3
给排水	ji3 pai2 shui3
给水	ji3 shui3
给皂器	ji3 zao4 qi4
给药	ji3 yao4
绝地	jue2 di4
绝大部分	jue2 da4 bu4 fen5
绝对地址	jue2 dui4 di4 zhi3
绝绝子	jue2 jue2 zi3
绝门儿	jue2 men2 r5
绝顶聪明	jue2 ding3 cong1 ming5
统率	tong3 shuai4
统称为	tong3 cheng1 wei2
继子	ji4 zi3
继子女	ji4 zi3 nv3
续假	xu4 jia4
绮想曲	qi3 xiang3 qu3
绷不住	beng1 bu5 zhu4
绷着脸	beng3 zhe5 lian3
绸缪	chou2 mou2
绿嘴地鹃	lv4 zui3 di4 juan1
绿地	lv4 di4
绿林好汉	lu4 lin2 hao3 han4
绿林豪客	lu4 lin2 hao2 ke4
绿泡泡	lv4 pao4 pao5
绿莹莹	lv4 ying1 ying1
缓发中子	huan3 fa1 zhong1 zi3
编曲	bian1 qu3
缘分	yuan2 fen4
缝制	feng2 zhi4
缝合	feng2 he2
缝穷	feng2 qiong2
缝絍	feng2 ren4
缝纫	feng2 ren4
缝纫机	feng2 ren4 ji1
缝线	feng2 xian4
缝缀	feng2 zhui4
缝缝连连	feng2 feng2 lian2 lian2
缝衣匠	feng2 yi1 jiang4
缝衣工人	feng2 yi1 gong1 ren2
缝衣针	feng2 yi1 zhen1
缝补	feng2 bu3
缝针	feng2 zhen1
缝针迹	feng2 zhen1 ji4
缥囊	piao3 nang2
缭边儿	liao2 bian1 r5
缺心眼儿	que1 xin1 yan3 r5
缺觉	que1 jiao4
罄身儿	qing4 shen1 r5
罐头	guan4 tou5
罐头起子	guan4 tou5 qi3 zi5
网吧	wang3 ba1
网路特务	wang3 lu4 te4 wu5
网页地址	wang3 ye4 di4 zhi3
罗刹	luo2 cha4
罗圈儿	luo2 quan1 r5
罗圈儿揖	luo2 quan1 r5 yi1
罗望子	luo2 wang4 zi3
罗锅儿	luo2 guo1 r5
罚没	fa2 mo4
罪有应得	zui4 you3 ying1 de2
罪过	zui4 guo5
罹难	li2 nan4
美发	mei3 fa4
美发厅	mei3 fa4 ting1
美发师	mei3 fa4 shi1
美容觉	mei3 rong2 jiao4
美差	mei3 chai1
美差事	mei3 chai1 shi4
美眄	mei3 mian3
羞答答	xiu1 da1 da1
羹藜唅糗	geng1 li2 han1 qiu3
翘企	qiao2 qi3
翘嘴鹬	qiao2 zui3 yu4
翘尾巴	qiao4 wei3 ba5
翘居群首	qiao2 ju1 qun2 shou3
翘曲	qiao2 qu1
翘望	qiao2 wang4
翘材	qiao2 cai2
翘棱	qiao2 leng5
翘楚	qiao2 chu3
翘盼	qiao2 pan4
翘足	qiao2 zu2
翘足引领	qiao2 zu2 yin3 ling3
翘足而待	qiao2 zu2 er2 dai4
翘首	qiao2 shou3
翘首以待	qiao2 shou3 yi3 dai4
翻供	fan1 gong4
翻天覆地	fan1 tian1 fu4 di4
翻斗	fan1 dou3
翻斗卡车	fan1 dou3 ka3 che1
翻筋斗	fan1 jin1 dou3
翻篇儿	fan1 pian1 r5
翻跟头	fan1 gen1 tou5
翻跟斗	fan1 gen1 dou3
老丈人	lao3 zhang4 ren5
老东西	lao3 dong1 xi5
老两口儿	lao3 liang3 kou3 r5
老伯伯	lao3 bo2 bo5
老伴儿	lao3 ban4 r5
老公	lao3 gong5
老公公	lao3 gong1 gong5
老到	lao3 dao5
老地方	lao3 di4 fang1
老处女	lao3 chu3 nv3
老太太	lao3 tai4 tai5
老夫少妻	lao3 fu1 shao4 qi1
老头儿	lao3 tou2 r5
老奶奶	lao3 nai3 nai5
老姥	lao3 mu3
老实	lao3 shi5
老实巴交	lao3 shi5 ba1 jiao1
老客儿	lao3 ke4 r5
老家伙	lao3 jia1 huo5
老少	lao3 shao4
老少咸宜	lao3 shao4 xian2 yi2
老少无欺	lao3 shao4 wu2 qi1
老少皆宜	lao3 shao4 jie1 yi2
老少配	lao3 shao4 pei4
老帽儿	lao3 mao4 r5
老是	lao3 shi5
老朋友	lao3 peng2 you5
老来少	lao3 lai2 shao4
老来得子	lao3 lai2 de2 zi3
老爷	lao3 ye5
老爷爷	lao3 ye2 ye5
老爷车	lao3 ye5 che1
老狐狸	lao3 hu2 li5
老玉米	lao3 yu4 mi5
老糊涂	lao3 hu2 tu5
老调重弹	lao3 diao4 chong2 tan2
老骨头	lao3 gu3 tou5
老鸹	lao3 gua5
考中	kao3 zhong4
考卷	kao3 juan4
考试卷	kao3 shi4 juan4
考试卷子	kao3 shi4 juan4 zi5
考量	kao3 liang2
耍小聪明	shua3 xiao3 cong1 ming5
耕地	geng1 di4
耕种	geng1 zhong4
耙地	ba4 di4
耙耳朵	pa1 er3 duo5
耲耙	huai2 ba4
耳发	er3 fa5
耳塞	er3 sai1
耳朵	er3 duo5
耳朵眼儿	er3 duo5 yan3 r5
耳朵软	er3 duo5 ruan3
耳片	er3 pian1
耷拉	da1 la5
耽搁	dan1 ge5
耽误	dan1 wu5
聊天儿	liao2 tian1 r5
职分	zhi2 fen4
联调联试	lian2 tiao2 lian2 shi4
联轴器	lian2 zhou4 qi4
联轴节	lian2 zhou4 jie2
聚居地	ju4 ju1 di4
聪明	cong1 ming5
聪明伶俐	cong1 ming5 ling2 li4
聪明才智	cong1 ming5 cai2 zhi4
聪明绝顶	cong1 ming5 jue2 ding3
聪明过头	cong1 ming5 guo4 tou2
肆意妄为	si4 yi4 wang4 wei2
肉干	rou4 gan1
肉毒中毒	rou4 du2 zhong4 du2
肉脯	rou4 fu3
肚儿	du3 r5
肛塞	gang1 sai1
肝脏	gan1 zang4
肝脑涂地	gan1 nao3 tu2 di4
肠仔	chang2 zi3
股长	gu3 zhang3
肥差	fei2 chai1
肩扛	jian1 kang2
育婴假	yu4 ying1 jia4
肺脏	fei4 zang4
肾脏	shen4 zang4
胄子	zhou4 zi3
胆儿	dan3 r5
胆大妄为	dan3 da4 wang4 wei2
背债	bei1 zhai4
背包	bei1 bao1
背包客	bei1 bao1 ke4
背包袱	bei1 bao1 fu2
背地	bei4 di4
背地里	bei4 di4 li5
背头	bei1 tou2
背带	bei1 dai4
背带裤	bei1 dai4 ku4
背影儿	bei4 ying3 r5
背景音乐	bei4 jing3 yin1 yue4
背榜	bei1 bang3
背篓	bei1 lou3
背负	bei1 fu4
背锅	bei1 guo1
背黑锅	bei1 hei1 guo1
胖墩儿	pang4 dun1 r5
胜地	sheng4 di4
胡乐	hu2 yue4
胡作非为	hu2 zuo4 fei1 wei2
胡吃海塞	hu2 chi1 hai3 sai1
胡同	hu2 tong4
胡同儿	hu2 tong4 r5
胡弄	hu2 nong5
胡椒子	hu2 jiao1 zi3
胡椒薄荷	hu2 jiao1 bo4 he5
胡琴	hu2 qin5
胡琴儿	hu2 qin2 r5
胡碴	hu2 cha1
胡萝卜	hu2 luo2 bo5
胡萝卜素	hu2 luo2 bo5 su4
胰脏	yi2 zang4
胰脏炎	yi2 zang4 yan2
胳肢	ge2 zhi5
胳肢窝	ga1 zhi5 wo1
胳膊	ge1 bo5
胳膊肘	ge1 bo5 zhou3
胳膊肘子	ge1 bo5 zhou3 zi5
胳臂	ge1 bei5
胳臂箍儿	ge1 bei5 gu1 r5
胳臂肘儿	ge1 bei5 zhou3 r5
胶子	jiao1 zi3
胶着	jiao1 zhuo2
胸闷	xiong1 men1
脉脉	mo4 mo4
脊梁骨	ji3 liang5 gu3
脏乱差	zang1 luan4 cha4
脏器	zang4 qi4
脏腑	zang4 fu3
脏躁	zang4 zao4
脑中风	nao3 zhong4 feng1
脑儿	nao3 r5
脑卒中	nao3 cu4 zhong4
脑瓜儿	nao3 gua1 r5
脑瓢儿	nao3 piao2 r5
脑袋	nao3 dai5
脖梗儿	bo2 geng3 r5
脖颈	bo2 geng3
脖颈儿	bo2 geng3 r5
脖颈子	bo2 geng3 zi5
脚不沾地	jiao3 bu4 zhan1 di4
脚不点地	jiao3 bu4 dian3 di4
脚孤拐	jiao3 gu1 guai5
脚指甲	jiao3 zhi3 jia5
脚爪	jiao3 zhao3
脚趾头	jiao3 zhi3 tou5
脚踏实地	jiao3 ta4 shi2 di4
脱不了身	tuo1 bu4 liao3 shen1
脱发	tuo1 fa4
脸皮薄	lian3 pi2 bao2
脸盘儿	lian3 pan2 r5
脸相	lian3 xiang4
脸薄	lian3 bao2
脸蛋儿	lian3 dan4 r5
脾气	pi2 qi5
脾脏	pi2 zang4
腌臜	a1 za1
腕儿	wan4 r5
腹地	fu4 di4
腹笥便便	fu4 si4 pian2 pian2
腻味	ni4 wei5
腻歪	ni4 wai5
腻烦	ni4 fan5
膀胱	pang2 guang1
膀胱气化	pang2 guang1 qi4 hua4
膀胱炎	pang2 guang1 yan2
膈应	ge4 ying5
膏立	gao4 li4
膏粱子弟	gao1 liang2 zi3 di4
膏药	gao1 yao5
膏药旗	gao1 yao5 qi2
膻中	dan4 zhong1
膻中穴	dan4 zhong1 xue2
臊气	sao1 qi4
臊腥	sao1 xing1
臣子	chen2 zi3
自个儿	zi4 ge3 r5
自以为是	zi4 yi3 wei2 shi4
自传	zi4 zhuan4
自在	zi4 zai5
自干五	zi4 gan1 wu3
自得	zi4 de2
自得其乐	zi4 de2 qi2 le4
自怨自艾	zi4 yuan4 zi4 yi4
自找麻烦	zi4 zhao3 ma2 fan5
自由散漫	zi4 you2 san3 man4
自留地	zi4 liu2 di4
自省	zi4 xing3
自给	zi4 ji3
自给自足	zi4 ji3 zi4 zu2
自艾自怜	zi4 yi4 zi4 lian2
自行了断	zi4 xing2 liao3 duan4
自转	zi4 zhuan4
自转轴	zi4 zhuan4 zhou2
自鸣得意	zi4 ming2 de2 yi4
臭子儿	chou4 zi3 r5
臭臭	chou4 chou5
臭豆腐	chou4 dou4 fu5
至当	zhi4 dang4
舅舅	jiu4 jiu5
舆地	yu2 di4
舌下含服	she2 xia4 han2 fu4
舌头	she2 tou5
舌苔	she2 tai1
舍下	she3 xia4
舍不得	she3 bu5 de5
舍命	she3 ming4
舍己	she3 ji3
舍己为人	she3 ji3 wei4 ren2
舍己为公	she3 ji3 wei4 gong1
舍己救人	she3 ji3 jiu4 ren2
舍弃	she3 qi4
舍得	she3 de5
舍本逐末	she3 ben3 zhu2 mo4
舍正从邪	she3 zheng4 cong2 xie2
舍生取义	she3 sheng1 qu3 yi4
舍生忘死	she3 sheng1 wang4 si3
舍身	she3 shen1
舍身求法	she3 shen1 qiu2 fa3
舍车保帅	she3 ju1 bao3 shuai4
舒坦	shu1 tan5
舒服	shu1 fu5
舒舒服服	shu1 shu5 fu5 fu5
舔屁股	tian3 pi4 gu5
舞曲	wu3 qu3
般乐	pan2 le4
般游	pan2 you2
般若	bo1 re3
舰只	jian4 zhi1
舰长	jian4 zhang3
船只	chuan2 zhi1
船长	chuan2 zhang3
色子	shai3 zi5
色盅	shai3 zhong1
色相	se4 xiang4
色相环	se4 xiang4 huan2
色酒	shai3 jiu3
色长	se4 zhang3
艾窝窝	ai4 wo1 wo5
节假日	jie2 jia4 ri4
节子	jie1 zi5
节气	jie2 qi5
节骨眼	jie1 gu5 yan3
节骨眼儿	jie1 gu5 yan3 r5
芋头	yu4 tou5
芋头色	yu4 tou5 se4
芝麻	zhi1 ma5
芝麻包	zhi1 ma5 bao1
芝麻官	zhi1 ma5 guan1
芝麻小事	zhi1 ma5 xiao3 shi4
芝麻油	zhi1 ma5 you2
芝麻绿豆	zhi1 ma5 lv4 dou4
芝麻菜	zhi1 ma5 cai4
芝麻酱	zhi1 ma5 jiang4
芝麻饼	zhi1 ma5 bing3
芥子气	jie4 zi3 qi4
芥末	jie4 mo5
芥蓝	gai4 lan2
芫荽	yan2 sui5
芫荽叶	yan2 sui5 ye4
芯子	xin4 zi5
花不棱登	hua1 bu5 leng1 deng1
花呢	hua1 ni2
花哨	hua1 shao5
花天酒地	hua1 tian1 jiu3 di4
花头	hua1 tou5
花岗岩	hua1 gang1 yan2
花岗石	hua1 gang1 shi2
花旗参	hua1 qi2 shen1
花朝月夕	hua1 zhao1 yue4 xi1
花朝节	hua1 zhao1 jie2
花花公子	hua1 hua1 gong1 zi3
花花搭搭	hua1 hua5 da1 da1
花边儿	hua1 bian1 r5
花里胡哨	hua1 li5 hu2 shao4
花骨朵	hua1 gu1 duo5
芸薹子	yun2 tai2 zi3
苍劲	cang1 jing4
苍术	cang1 zhu2
苍蝇	cang1 ying5
苍蝇拍	cang1 ying5 pai1
苍蝇老虎	cang1 ying5 lao3 hu3
苏打	su1 da2
苏打水	su1 da2 shui3
苏打粉	su1 da2 fen3
苏打饼干	su1 da2 bing3 gan1
苗头	miao2 tou5
苗条	miao2 tiao5
苜蓿	mu4 xu5
苣荬菜	qu3 mai5 cai4
苤蓝	pie3 lan5
若干	ruo4 gan1
苦不唧	ku3 bu5 ji1
苦不唧儿	ku3 bu5 ji1 r5
苦参	ku3 shen1
苦处	ku3 chu5
苦头	ku3 tou5
苦差	ku3 chai1
苦差事	ku3 chai1 shi5
苦活儿	ku3 huo2 r5
苦难	ku3 nan4
苦难深重	ku3 nan4 shen1 zhong4
英石	ying1 dan4
范儿	fan4 r5
茄克衫	jia1 ke4 shan1
茅厕	mao2 si5
茉莉花	mo4 li5 hua1
茉莉花茶	mo4 li5 hua1 cha2
茨菰	ci2 gu5
茬地	cha2 di4
茶几	cha2 ji1
茶叶末儿	cha2 ye4 mo4 r5
茶坊	cha2 fang2
茶馆儿	cha2 guan3 r5
草地	cao3 di4
草地鹨	cao3 di4 liu4
草字头儿	cao3 zi4 tou2 r5
草率	cao3 shuai4
草率收兵	cao3 shuai4 shou1 bing1
草草了事	cao3 cao3 liao3 shi4
荐头	jian4 tou5
荐头店	jian4 tou5 dian4
荒地	huang1 di4
荤笑话	hun1 xiao4 hua5
荨麻疹	xun2 ma2 zhen3
荫凉	yin4 liang2
荫蔽	yin4 bi4
药方儿	yao4 fang1 r5
药水儿	yao4 shui3 r5
荷枪实弹	he4 qiang1 shi2 dan4
荷重	he4 zhong4
荸荠	bi2 qi2
莎草	suo1 cao3
莘莘学子	shen1 shen1 xue2 zi3
莫可指数	mo4 ke3 zhi3 shu3
莱菔子	lai2 fu2 zi3
莲子	lian2 zi3
莲花落	lian2 hua1 lao4
获得	huo4 de2
获得性	huo4 de2 xing4
获得感	huo4 de2 gan3
获得者	huo4 de2 zhe3
菌伞	jun4 san3
菌子	jun4 zi5
菌柄	jun4 bing3
菌盖	jun4 gai4
菌褶	jun4 zhe3
菜地	cai4 di4
菜市仔名	cai4 shi4 zi3 ming2
菜脯	cai4 fu3
菟丝子	tu4 si1 zi3
菱角	ling2 jiao5
菲薄	fei3 bo2
菲酌	fei3 zhuo2
萝卜	luo2 bo5
萝卜丝饼	luo2 bo5 si1 bing3
萝卜糕	luo2 bo5 gao1
营地	ying2 di4
营生	ying2 sheng5
营运长	ying2 yun4 zhang3
营长	ying2 zhang3
萨摩耶	sa4 mo2 ye2
落价	lao4 jia4
落地	luo4 di4
落地扇	luo4 di4 shan4
落地灯	luo4 di4 deng1
落地生根	luo4 di4 sheng1 gen1
落地窗	luo4 di4 chuang1
落地签	luo4 di4 qian1
落地鼓	luo4 di4 gu3
落埋怨	lao4 man2 yuan4
落子	lao4 zi5
落忍	lao4 ren3
落枕	lao4 zhen3
落汗	lao4 han4
落炕	lao4 kang4
落空	la4 kong4
落色	lao4 shai3
落草为寇	luo4 cao3 wei2 kou4
落袋为安	luo4 dai4 wei2 an1
落难	luo4 nan4
葛缕子	ge3 lv3 zi5
葡萄干	pu2 tao5 gan1
葡萄干儿	pu2 tao5 gan1 r5
葡萄柚	pu2 tao2 you4
葡萄汁	pu2 tao2 zhi1
葡萄胸鸭	pu2 tao2 xiong1 ya1
董事长	dong3 shi4 zhang3
葫芦	hu2 lu5
葵花子	kui2 hua1 zi3
蒙古包	meng3 gu3 bao1
蒙哄	meng2 hong3
蒙圈	meng1 quan1
蒙头转向	meng1 tou2 zhuan3 xiang4
蒙蒙亮	meng1 meng1 liang4
蒙蒙黑	meng1 meng1 hei1
蒙难	meng2 nan4
蒙骗	meng1 pian4
蒸发空调	zheng1 fa1 kong1 tiao2
蒸气重整	zheng1 qi4 chong2 zheng3
蒺藜	ji2 li5
蓂荚	ming2 jia2
蓝田种玉	lan2 tian2 zhong4 yu4
蓦地里	mo4 di4 li3
蓬头散发	peng2 tou2 san4 fa4
蓬散	peng2 san3
蔓菁	man2 jing5
蔚为	wei4 wei2
蔚为壮观	wei4 wei2 zhuang4 guan1
蔚为大观	wei4 wei2 da4 guan1
蔫儿	nian1 r5
蔫儿坏	nian1 r5 huai4
薄地	bo2 di4
薄层	bao2 ceng2
薄板	bao2 ban3
薄片	bao2 pian4
薄纱	bao2 sha1
薄纸	bao2 zhi3
薄绸	bao2 chou2
薄脆	bao2 cui4
薄荷	bo4 he5
薄荷油	bo4 he5 you2
薄荷糖	bo4 he5 tang2
薄荷脑	bo4 he5 nao3
薄荷酮	bo4 he5 tong2
薄荷醇	bo4 he5 chun2
薄透镜	bao2 tou4 jing4
薄饼	bao2 bing3
薪给	xin1 ji3
藏拙	cang2 zhuo2
藏掖	cang2 ye1
藏猫儿	cang2 mao1 r5
藏獒	zang4 ao2
藏红花	zang4 hong2 hua1
藏茴香果	zang4 hui2 xiang1 guo3
藏藏掖掖	cang2 cang2 ye1 ye1
藏象	zang4 xiang4
藏雀	zang4 que4
藏雪雀	zang4 xue3 que4
藏雪鸡	zang4 xue3 ji1
藏青	zang4 qing1
藏青果	zang4 qing1 guo3
藏青色	zang4 qing1 se4
藏马鸡	zang4 ma3 ji1
藏鹀	zang4 wu2
藏黄雀	zang4 huang2 que4
藠头	jiao4 tou5
藤蔓	teng2 wan4
藤藤菜	teng2 teng5 cai4
藨草	biao1 cao3
蘑菇	mo2 gu5
蘑菇汤	mo2 gu5 tang1
虎不拉	hu4 bu5 la3
虎子	hu3 zi3
虎斑地鸫	hu3 ban1 di4 dong1
虚与委蛇	xu1 yu3 wei1 yi2
虚应了事	xu1 ying4 liao3 shi4
虚心好学	xu1 xin1 hao4 xue2
虚粒子	xu1 li4 zi3
虫儿	chong2 r5
虼蚤	ge4 zao5
虾子	xia1 zi3
虾干	xia1 gan1
蚂蚱	ma4 zha5
蚂螂	ma1 lang2
蚕子	can2 zi3
蚰蜒路	you2 yan5 lu4
蚵仔	e2 zi5
蚵仔煎	e2 zi3 jian1
蛋卷儿	dan4 juan3 r5
蛐蛐	qu1 qu5
蛐蛐儿	qu1 qu5 r5
蛐蟮	qu1 shan5
蛛蛛	zhu1 zhu5
蛤蟆	ha2 ma5
蛤蟆夯	ha2 ma5 hang1
蛤蟆镜	ha2 ma5 jing4
蛮横	man2 heng4
蛮横无理	man2 heng4 wu2 li3
蜚蠊	fei3 lian2
蜚蠊科	fei3 lian2 ke1
蜜月假期	mi4 yue4 jia4 qi1
蝈蝈	guo1 guo5
蝈蝈儿	guo1 guo5 r5
蝲蛄	la4 gu3
蝲蝲蛄	la4 la4 gu3
融为一体	rong2 wei2 yi1 ti3
融合为一	rong2 he2 wei2 yi1
螟蛉子	ming2 ling2 zi3
螫中	zhe1 zhong4
螵蛸	piao1 xiao1
螺丝钻	luo2 si1 zuan4
蟹爪兰	xie4 zhao3 lan2
血中毒	xue4 zhong4 du2
血泊	xue4 po1
血淋淋	xie3 lin2 lin2
血肉模糊	xue4 rou4 mo2 hu5
血肠	xie3 chang2
血豆腐	xue4 dou4 fu5
血钻	xue4 zuan4
行不通	xing2 bu5 tong1
行业	hang2 ye4
行为	xing2 wei2
行为主义	xing2 wei2 zhu3 yi4
行为准则	xing2 wei2 zhun3 ze2
行为数据	xing2 wei2 shu4 ju4
行为艺术	xing2 wei2 yi4 shu4
行会	hang2 hui4
行列	hang2 lie4
行列式	hang2 lie4 shi4
行号	hang2 hao4
行员	hang2 yuan2
行商	hang2 shang1
行头	xing2 tou5
行家	hang2 jia1
行家里手	hang2 jia1 li3 shou3
行将	xing2 jiang1
行将就木	xing2 jiang1 jiu4 mu4
行将结束	xing2 jiang1 jie2 shu4
行市	hang2 shi4
行当	hang2 dang5
行情	hang2 qing2
行政长官	xing2 zheng4 zhang3 guan1
行李	xing2 li5
行李员	xing2 li5 yuan2
行李房	xing2 li5 fang2
行李架	xing2 li5 jia4
行李票	xing2 li5 piao4
行李箱	xing2 li5 xiang1
行李袋	xing2 li5 dai4
行栈	hang2 zhan4
行话	hang2 hua4
行语	hang2 yu3
行货	hang2 huo4
行距	hang2 ju4
行辈	hang2 bei4
行销长	xing2 xiao1 zhang3
行长	hang2 zhang3
行间	hang2 jian1
街上	jie1 shang5
街坊四邻	jie1 fang5 si4 lin2
街坊邻里	jie1 fang5 lin2 li3
衙门	ya2 men5
衡量	heng2 liang2
衡量制	heng2 liang5 zhi4
衣子	yi1 zi3
衣服	yi1 fu5
衣甲	yi4 jia3
衣着	yi1 zhuo2
衣裳钩儿	yi1 shang5 gou1 r5
衣钩儿	yi1 gou1 r5
衣锦还乡	yi1 jin3 huan2 xiang1
补丁	bu3 ding5
补种	bu3 zhong4
补给	bu3 ji3
补给品	bu3 ji3 pin3
补给站	bu3 ji3 zhan4
补给舰	bu3 ji3 jian4
补给船	bu3 ji3 chuan2
补给车	bu3 ji3 che1
补觉	bu3 jiao4
表妹夫	biao3 mei4 fu5
表姐夫	biao3 jie3 fu5
表率	biao3 shuai4
表面上	biao3 mian4 shang5
袖筒儿	xiu4 tong3 r5
被卧	bei4 wo5
被子植物	bei4 zi3 zhi2 wu4
被窝儿	bei4 wo1 r5
袷袢	qia1 pan4
裁切	cai2 qie1
裁处	cai2 chu3
裁度	cai2 duo2
裁缝	cai2 feng2
裁缝师	cai2 feng2 shi1
裁缝店	cai2 feng2 dian4
装裹	zhuang1 guo5
裙带关系	qun2 dai4 guan1 xi5
裸地	luo3 di4
裸地化	luo3 di4 hua4
裸子植物	luo3 zi3 zhi2 wu4
褒呔	bao1 tai1
褡裢	da1 lian5
褪下	tun4 xia4
褪套儿	tun4 tao4 r5
西地那非	xi1 di4 na4 fei1
西打	xi1 da2
西洋参	xi1 yang2 shen1
西葫芦	xi1 hu2 lu5
西边儿	xi1 bian1 r5
要不得	yao4 bu5 de5
要不是	yao4 bu5 shi4
要击	yao1 ji1
要地	yao4 di4
要塞	yao4 sai4
要得	yao4 de2
要挟	yao1 xie2
要是	yao4 shi5
要样儿	yao4 yang4 r5
要求	yao1 qiu2
要着	yao4 zhuo2
要约	yao1 yue1
覆没	fu4 mo4
覆盆子	fu4 pen2 zi3
见不得	jian4 bu5 de2
见不得人	jian4 bu5 de2 ren2
见义勇为	jian4 yi4 yong3 wei2
见地	jian4 di4
见得	jian4 de2
见识	jian4 shi5
观星台	guan4 xing1 tai2
规矩	gui1 ju5
规矩准绳	gui1 ju5 zhun3 sheng2
规矩绳墨	gui1 ju5 sheng2 mo4
觅食行为	mi4 shi2 xing2 wei2
视为	shi4 wei2
视为畏途	shi4 wei2 wei4 tu2
视为知己	shi4 wei2 zhi1 ji3
觑糊	qu4 hu5
角力	jue2 li4
角口	jue2 kou3
角妓	jue2 ji4
角抵	jue2 di3
角斗	jue2 dou4
角斗场	jue2 dou4 chang3
角色	jue2 se4
角逐	jue2 zhu2
觜宿	zi1 xiu4
解㑊	xie4 yi4
解元	jie4 yuan2
解数	xie4 shu4
解民倒悬	jie3 min2 dao4 xuan2
解痉剂	xie4 jing4 ji4
解调	jie3 tiao2
触地得分	chu4 di4 de2 fen1
触手可得	chu4 shou3 ke3 de2
触技曲	chu4 ji4 qu3
言中	yan2 zhong4
言为心声	yan2 wei2 xin1 sheng1
言归正传	yan2 gui1 zheng4 zhuan4
誓死不降	shi4 si3 bu4 xiang2
认为	ren4 wei2
认人儿	ren4 ren2 r5
认死扣儿	ren4 si3 kou4 r5
认死理儿	ren4 si3 li3 r5
认知失调	ren4 zhi1 shi1 tiao2
认识	ren4 shi5
认识不能	ren4 shi5 bu4 neng2
认识论	ren4 shi5 lun4
讨人喜欢	tao3 ren2 xi3 huan5
讨价还价	tao3 jia4 huan2 jia4
讨便宜	tao3 pian2 yi5
讨底儿	tao3 di3 r5
讨还	tao3 huan2
议长	yi4 zhang3
记不住	ji4 bu5 zhu4
记为	ji4 wei2
记传	ji4 zhuan4
记住	ji4 zhu5
记号	ji4 hao5
记号笔	ji4 hao5 bi3
记在心里	ji4 zai4 xin1 li5
记性	ji4 xing5
记载	ji4 zai3
讲究	jiang3 jiu5
设身处地	she4 shen1 chu3 di4
证供	zheng4 gong4
证券行	zheng4 quan4 hang2
诃子	he1 zi3
评为	ping2 wei2
评价量规	ping2 jia4 liang2 gui1
评卷	ping2 juan4
评弹	ping2 tan2
识相	shi2 xiang4
诈唬	zha4 hu5
诈降	zha4 xiang2
词项逻辑	ci2 xiang4 luo2 ji5
试卷	shi4 juan4
试手儿	shi4 shou3 r5
试种	shi4 zhong4
话茬儿	hua4 cha2 r5
话说回来	hua4 shuo1 hui2 lai5
该应	gai1 ying1
误人子弟	wu4 ren2 zi3 di4
说不上	shuo1 bu5 shang4
说不出	shuo1 bu5 chu1
说不定	shuo1 bu5 ding4
说不得	shuo1 bu5 de5
说不过去	shuo1 bu5 guo4 qu4
说中	shuo1 zhong4
说客	shui4 ke4
说法	shuo1 fa5
说着玩儿	shuo1 zhe5 wan2 r5
说老实话	shuo1 lao3 shi5 hua4
说说	shuo1 shuo5
请假	qing3 jia4
请假条	qing3 jia4 tiao2
诸子	zhu1 zi3
诸子十家	zhu1 zi3 shi2 jia1
诸子百家	zhu1 zi3 bai3 jia1
诸相	zhu1 xiang4
课长	ke4 zhang3
调三窝四	tiao2 san1 wo1 si4
调价	tiao2 jia4
调休	tiao2 xiu1
调侃	tiao2 kan3
调停	tiao2 ting2
调停者	tiao2 ting2 zhe3
调光器	tiao2 guang1 qi4
调养	tiao2 yang3
调准	tiao2 zhun3
调制	tiao2 zhi4
调制波	tiao2 zhi4 bo1
调剂	tiao2 ji4
调匀	tiao2 yun2
调升	tiao2 sheng1
调协	tiao2 xie2
调卷	diao4 juan4
调变	tiao2 bian4
调味	tiao2 wei4
调味剂	tiao2 wei4 ji4
调味品	tiao2 wei4 pin3
调味料	tiao2 wei4 liao4
调味汁	tiao2 wei4 zhi1
调味肉汁	tiao2 wei4 rou4 zhi1
调和	tiao2 he2
调和分析	tiao2 he2 fen1 xi1
调和振动	tiao2 he2 zhen4 dong4
调唆	tiao2 suo1
调嘴	tiao2 zui3
调嘴学舌	tiao2 zui3 xue2 she2
调头	diao4 tou5
调幅	tiao2 fu2
调弄	tiao2 nong4
调律	tiao2 lv4
调情	tiao2 qing2
调戏	tiao2 xi4
调挡	tiao2 dang3
调控	tiao2 kong4
调摄	tiao2 she4
调教	tiao2 jiao4
调整	tiao2 zheng3
调料	tiao2 liao4
调焦	tiao2 jiao1
调理	tiao2 li3
调理食品	tiao2 li3 shi2 pin3
调皮	tiao2 pi2
调皮捣蛋	tiao2 pi2 dao3 dan4
调相	tiao2 xiang4
调研人员	tiao2 yan2 ren2 yuan2
调笑	tiao2 xiao4
调羹	tiao2 geng1
调色	tiao2 se4
调色板	tiao2 se4 ban3
调色盘	tiao2 se4 pan2
调节	tiao2 jie2
调节器	tiao2 jie2 qi4
调药刀	tiao2 yao4 dao1
调解	tiao2 jie3
调训	tiao2 xun4
调试	tiao2 shi4
调谐	tiao2 xie2
调谑	tiao2 xue4
调资	tiao2 zi1
调适	tiao2 shi4
调速	tiao2 su4
调酒	tiao2 jiu3
调酒器	tiao2 jiu3 qi4
调酒师	tiao2 jiu3 shi1
调门儿	diao4 men2 r5
